e2e_latency,jitter,bit_rate,packet_loss_rate,peak_data_rate_dl,peak_data_rate_ul,mobility,service_reliability,availability,survival_time,experience_data_rate_dl,experience_data_rate_ul,interruption_time,class,cpu_usage,bandwidth,cpu_category,bandwidth_category
17.0,1.8,45.0,0.1,1.6,1.5,75.0,99.7,99.8,20.0,22.0,20.0,20.0,UHD Video Streaming,30.0,75.0,medium_cpu,low_bandwidth
20.0,1.0,100.0,0.3,2.0,0.9,80.0,99.9,99.4,300.0,100.0,35.0,5.0,UHD Video Streaming,40.0,50.0,medium_cpu,low_bandwidth
10.0,2.0,250.0,0.5,4.0,5.0,70.0,96.0,96.0,1200.0,30.0,50.0,10.0,Video Surveillance,22.0,80.0,low_cpu,low_bandwidth
10.0,1.0,50.0,0.2,1.0,0.5,100.0,99.0,99.7,250.0,50.0,20.0,5.0,e-Health,20.0,500.0,low_cpu,high_bandwidth
9.0,1.2,90.0,0.2,0.5,1.5,80.0,99.7,99.6,500.0,90.0,40.0,20.0,ITS (Intelligent Transportation Systems),35.0,100.0,medium_cpu,low_bandwidth
20.0,2.0,1000.0,0.3,2.0,1.0,80.0,99.2,99.9,5000.0,5.0,80.0,70.0,Industry Automation,18.0,4000.0,low_cpu,ultra_high_bandwidth
10.0,2.0,300.0,0.1,2.0,1.0,100.0,99.4,99.4,3000.0,200.0,30.0,10.0,Vo5G (Voice over 5G),50.0,400.0,medium_cpu,high_bandwidth
12.0,1.2,120.0,0.1,2.8,0.8,120.0,99.0,100.0,700.0,500.0,25.0,15.0,UHD Video Streaming,65.0,450.0,medium_cpu,high_bandwidth
8.0,2.0,150.0,0.9,1.0,1.5,80.0,99.5,99.4,950.0,150.0,45.0,9.0,ITS (Intelligent Transportation Systems),55.0,250.0,medium_cpu,medium_bandwidth
20.0,1.0,50.0,0.1,2.0,1.0,80.0,99.5,99.9,400.0,40.0,20.0,12.0,ITS (Intelligent Transportation Systems),30.0,80.0,medium_cpu,low_bandwidth
12.0,5.0,70.0,0.5,2.0,0.3,100.0,99.3,99.8,600.0,50.0,28.0,8.0,Vo5G (Voice over 5G),40.0,400.0,medium_cpu,high_bandwidth
12.0,2.5,180.0,0.2,0.8,0.6,40.0,97.5,97.0,4500.0,180.0,150.0,10.0,Industry Automation,50.0,450.0,medium_cpu,high_bandwidth
14.0,1.0,40.0,2.0,1.0,1.0,100.0,99.9,99.8,800.0,20.0,70.0,20.0,Industry Automation,30.0,75.0,medium_cpu,low_bandwidth
13.0,1.0,170.0,0.1,2.0,1.0,45.0,99.9,99.2,700.0,40.0,70.0,5.0,ITS (Intelligent Transportation Systems),70.0,700.0,high_cpu,high_bandwidth
50.0,3.0,250.0,0.4,1.8,0.4,30.0,99.6,99.6,250.0,80.0,50.0,20.0,e-Health,100.0,500.0,high_cpu,high_bandwidth
9.0,1.8,30.0,0.3,1.2,0.6,12.0,99.6,99.7,750.0,35.0,12.0,20.0,e-Health,35.0,30.0,medium_cpu,low_bandwidth
10.0,1.0,450.0,0.1,5.0,0.3,60.0,99.0,99.5,700.0,400.0,7.0,10.0,Industry Automation,70.0,400.0,high_cpu,high_bandwidth
10.0,1.2,80.0,0.1,3.0,2.5,40.0,97.0,99.6,200.0,120.0,60.0,15.0,Connected Vehicles,40.0,200.0,medium_cpu,medium_bandwidth
15.0,1.0,100.0,0.2,1.0,0.6,50.0,99.3,99.9,650.0,100.0,70.0,100.0,Smart Grid,40.0,500.0,medium_cpu,high_bandwidth
10.0,2.0,180.0,0.3,2.0,1.5,50.0,100.0,100.0,500.0,30.0,30.0,8.0,UHD Video Streaming,70.0,300.0,high_cpu,medium_bandwidth
8.0,2.0,40.0,0.1,0.5,0.8,90.0,99.6,99.6,400.0,10.0,30.0,300.0,e-Health,30.0,80.0,medium_cpu,low_bandwidth
8.0,2.2,100.0,0.2,2.5,0.3,80.0,99.8,99.9,7000.0,80.0,15.0,50.0,UHD Video Streaming,30.0,100.0,medium_cpu,low_bandwidth
30.0,3.0,80.0,0.1,1.0,2.0,80.0,99.5,99.0,400.0,80.0,40.0,30.0,Video Surveillance,65.0,85.0,medium_cpu,low_bandwidth
15.0,1.0,120.0,0.1,2.0,1.0,25.0,98.0,99.8,5000.0,60.0,80.0,20.0,ITS (Intelligent Transportation Systems),35.0,120.0,medium_cpu,low_bandwidth
10.0,2.0,80.0,0.1,0.8,0.5,60.0,99.5,99.9,400.0,50.0,30.0,8.0,Smart Grid,60.0,300.0,medium_cpu,medium_bandwidth
18.0,1.8,150.0,0.2,2.0,1.8,70.0,99.5,99.6,130.0,400.0,1.8,15.0,Vo5G (Voice over 5G),35.0,55.0,medium_cpu,low_bandwidth
8.0,2.0,400.0,0.0,2.0,3.0,80.0,98.0,99.8,10000.0,400.0,7.0,45.0,Immersive Experience,30.0,900.0,medium_cpu,high_bandwidth
8.0,4.0,500.0,0.2,3.0,5.0,100.0,99.6,99.6,1000.0,900.0,50.0,7.0,Connected Vehicles,70.0,400.0,high_cpu,high_bandwidth
15.0,1.5,50.0,0.2,4.0,2.0,80.0,99.9,99.8,1000.0,50.0,30.0,10.0,e-Health,40.0,250.0,medium_cpu,medium_bandwidth
20.0,1.0,100.0,0.2,0.4,0.3,100.0,99.7,99.5,200.0,40.0,15.0,20.0,Vo5G (Voice over 5G),50.0,200.0,medium_cpu,medium_bandwidth
20.0,7.0,120.0,0.5,1.0,1.0,100.0,99.9,99.0,600.0,120.0,20.0,50.0,Industry Automation,45.0,200.0,medium_cpu,medium_bandwidth
12.0,2.0,160.0,0.2,1.0,2.0,120.0,99.5,99.9,950.0,80.0,30.0,45.0,Vo5G (Voice over 5G),80.0,100.0,high_cpu,low_bandwidth
15.0,2.0,50.0,0.2,1.0,0.5,60.0,99.9,100.0,900.0,50.0,15.0,150.0,UHD Video Streaming,20.0,400.0,low_cpu,high_bandwidth
8.0,2.5,75.0,0.3,1.8,0.5,60.0,99.8,99.9,1000.0,40.0,20.0,15.0,Connected Vehicles,65.0,45.0,medium_cpu,low_bandwidth
15.0,4.0,200.0,0.1,0.2,0.5,120.0,99.9,99.9,700.0,200.0,10.0,20.0,Connected Vehicles,65.0,600.0,medium_cpu,high_bandwidth
15.0,4.5,50.0,0.2,1.5,3.0,120.0,99.5,99.7,500.0,30.0,50.0,10.0,Industry Automation,50.0,5.0,medium_cpu,low_bandwidth
19.5,2.0,800.0,0.2,12.0,0.8,60.0,99.0,99.8,1100.0,300.0,140.0,1.0,Industry Automation,50.0,900.0,medium_cpu,high_bandwidth
18.0,1.2,50.0,0.0,7.5,1.5,100.0,99.9,99.9,700.0,60.0,25.0,8.0,Connected Vehicles,40.0,50.0,medium_cpu,low_bandwidth
15.0,3.5,400.0,0.2,1.2,2.0,100.0,99.8,99.2,4000.0,300.0,25.0,10.0,ITS (Intelligent Transportation Systems),40.0,200.0,medium_cpu,medium_bandwidth
110.0,2.0,400.0,0.1,1.0,0.5,70.0,99.0,99.0,600.0,250.0,50.0,40.0,Video Surveillance,20.0,200.0,low_cpu,medium_bandwidth
10.0,1.5,500.0,0.2,4.5,0.6,100.0,99.1,100.0,1000.0,550.0,250.0,20.0,UHD Video Streaming,75.0,1000.0,high_cpu,high_bandwidth
10.0,1.3,100.0,0.1,1.2,0.3,100.0,99.6,99.7,5000.0,50.0,5.0,30.0,Vo5G (Voice over 5G),50.0,150.0,medium_cpu,medium_bandwidth
20.0,1.0,50.0,0.4,1.0,0.8,100.0,99.5,99.5,700.0,80.0,40.0,5.0,Smart Grid,30.0,400.0,medium_cpu,high_bandwidth
3.0,2.0,80.0,0.1,8.0,1.0,110.0,98.0,99.8,180.0,150.0,150.0,120.0,Immersive Experience,35.0,90.0,medium_cpu,low_bandwidth
18.0,2.2,120.0,0.3,2.5,1.3,120.0,98.5,100.0,140.0,50.0,60.0,6.0,UHD Video Streaming,25.0,180.0,low_cpu,medium_bandwidth
30.0,2.0,120.0,0.2,4.0,1.0,90.0,99.8,99.8,500.0,135.0,75.0,50.0,UHD Video Streaming,55.0,450.0,medium_cpu,high_bandwidth
15.0,1.0,100.0,0.2,1.0,0.5,50.0,99.7,99.7,1000.0,50.0,30.0,12.0,Industry Automation,40.0,500.0,medium_cpu,high_bandwidth
20.0,6.0,200.0,0.1,1.0,2.0,40.0,99.0,99.5,120.0,350.0,10.0,10.0,Smart Grid,45.0,200.0,medium_cpu,medium_bandwidth
12.0,2.5,130.0,0.2,1.2,2.0,100.0,99.0,99.9,450.0,180.0,40.0,25.0,Connected Vehicles,60.0,130.0,medium_cpu,low_bandwidth
7.0,3.0,130.0,0.1,1.0,0.5,80.0,99.0,99.9,1300.0,90.0,15.0,12.0,Vo5G (Voice over 5G),60.0,1200.0,medium_cpu,ultra_high_bandwidth
40.0,1.0,200.0,0.1,3.0,0.2,120.0,99.5,99.6,600.0,70.0,30.0,25.0,e-Health,60.0,80.0,medium_cpu,low_bandwidth
10.0,1.7,100.0,0.5,3.5,1.2,50.0,99.0,99.9,700.0,50.0,30.0,30.0,Vo5G (Voice over 5G),30.0,100.0,medium_cpu,low_bandwidth
10.0,7.0,80.0,0.9,2.0,0.9,90.0,99.5,99.8,1300.0,70.0,70.0,100.0,UHD Video Streaming,60.0,650.0,medium_cpu,high_bandwidth
12.0,4.0,200.0,0.4,0.3,0.3,70.0,99.4,99.4,700.0,70.0,80.0,400.0,Video Surveillance,50.0,140.0,medium_cpu,low_bandwidth
12.0,2.2,500.0,0.9,8.5,0.2,60.0,99.7,99.5,950.0,950.0,180.0,12.0,e-Health,70.0,950.0,high_cpu,high_bandwidth
10.0,2.0,200.0,0.1,1.0,0.2,100.0,99.0,97.0,1000.0,200.0,200.0,5.0,Immersive Experience,70.0,180.0,high_cpu,medium_bandwidth
10.0,1.7,400.0,0.3,3.8,1.8,70.0,99.9,99.4,800.0,450.0,25.0,10.0,Vo5G (Voice over 5G),65.0,130.0,medium_cpu,low_bandwidth
5.0,1.5,80.0,0.3,7.0,0.5,60.0,99.5,99.6,1200.0,25.0,15.0,10.0,Immersive Experience,50.0,55.0,medium_cpu,low_bandwidth
12.0,1.5,180.0,0.3,4.0,0.6,120.0,99.9,99.9,1100.0,160.0,2.5,70.0,Industry Automation,85.0,180.0,high_cpu,medium_bandwidth
18.0,1.0,70.0,0.4,7.0,0.7,90.0,99.9,99.9,750.0,65.0,2.8,5.0,Immersive Experience,45.0,180.0,medium_cpu,medium_bandwidth
2.5,4.5,100.0,0.0,1.5,0.9,90.0,99.7,99.0,6000.0,100.0,40.0,2.0,Smart Grid,30.0,120.0,medium_cpu,low_bandwidth
25.0,3.0,50.0,0.2,1.2,2.5,50.0,99.9,99.8,300.0,40.0,35.0,9.0,Connected Vehicles,50.0,100.0,medium_cpu,low_bandwidth
10.0,5.0,300.0,0.3,1.0,1.0,50.0,99.7,99.8,150.0,130.0,120.0,60.0,Industry Automation,40.0,600.0,medium_cpu,high_bandwidth
10.0,1.0,700.0,0.3,2.5,2.5,50.0,99.5,99.8,4000.0,700.0,40.0,10.0,e-Health,50.0,1000.0,medium_cpu,high_bandwidth
15.0,1.0,500.0,0.3,5.0,1.0,90.0,99.5,99.8,1050.0,550.0,90.0,20.0,Smart Grid,35.0,250.0,medium_cpu,medium_bandwidth
20.0,1.2,180.0,0.1,2.2,1.2,60.0,99.0,99.8,500.0,180.0,180.0,12.0,Immersive Experience,80.0,120.0,high_cpu,low_bandwidth
8.0,1.0,50.0,0.1,0.9,0.5,70.0,99.6,99.6,150.0,30.0,45.0,10.0,Immersive Experience,40.0,350.0,medium_cpu,high_bandwidth
70.0,2.5,100.0,0.3,3.5,1.0,90.0,99.5,99.6,1100.0,80.0,90.0,12.0,UHD Video Streaming,45.0,150.0,medium_cpu,medium_bandwidth
18.0,2.0,100.0,0.2,1.0,0.1,45.0,99.0,99.5,600.0,80.0,0.8,140.0,ITS (Intelligent Transportation Systems),30.0,70.0,medium_cpu,low_bandwidth
10.0,1.5,150.0,0.5,1.8,1.5,50.0,99.2,99.7,800.0,120.0,50.0,10.0,Industry Automation,50.0,500.0,medium_cpu,high_bandwidth
22.0,2.5,120.0,0.1,0.5,0.8,100.0,98.5,99.7,800.0,80.0,40.0,120.0,Smart Grid,70.0,700.0,high_cpu,high_bandwidth
10.0,2.0,70.0,0.1,1.0,1.0,50.0,99.0,99.6,500.0,25.0,20.0,10.0,Connected Vehicles,30.0,80.0,medium_cpu,low_bandwidth
15.0,2.5,450.0,0.1,5.0,1.2,120.0,99.8,99.9,950.0,180.0,420.0,14.0,Vo5G (Voice over 5G),50.0,4.0,medium_cpu,low_bandwidth
15.0,1.0,200.0,0.1,2.0,0.3,120.0,99.1,99.1,400.0,80.0,50.0,20.0,UHD Video Streaming,50.0,150.0,medium_cpu,medium_bandwidth
15.0,1.5,140.0,0.2,8.0,1.2,40.0,100.0,100.0,450.0,15.0,10.0,12.0,Video Surveillance,70.0,600.0,high_cpu,high_bandwidth
9.0,0.2,65.0,0.3,3.0,0.6,70.0,99.5,99.8,110.0,70.0,30.0,18.0,e-Health,40.0,65.0,medium_cpu,low_bandwidth
50.0,2.0,80.0,0.2,2.0,1.3,50.0,99.5,99.9,1000.0,150.0,180.0,10.0,Video Surveillance,30.0,600.0,medium_cpu,high_bandwidth
24.0,3.0,500.0,0.1,1.0,1.0,70.0,99.5,99.9,750.0,110.0,30.0,45.0,UHD Video Streaming,30.0,300.0,medium_cpu,medium_bandwidth
17.0,1.0,90.0,0.1,6.0,2.0,100.0,99.7,100.0,500.0,80.0,40.0,8.0,Smart Grid,25.0,700.0,low_cpu,high_bandwidth
25.0,5.0,150.0,0.2,4.5,0.6,40.0,98.0,99.6,800.0,120.0,60.0,10.0,Industry Automation,35.0,600.0,medium_cpu,high_bandwidth
50.0,2.0,300.0,0.1,1.5,0.5,70.0,99.6,99.7,500.0,80.0,110.0,10.0,Vo5G (Voice over 5G),60.0,350.0,medium_cpu,high_bandwidth
15.0,4.0,100.0,0.3,1.5,0.6,70.0,99.8,100.0,1000.0,80.0,40.0,10.0,Immersive Experience,70.0,220.0,high_cpu,medium_bandwidth
35.0,1.0,300.0,0.1,1.0,0.1,70.0,99.7,99.5,700.0,400.0,120.0,12.0,Vo5G (Voice over 5G),40.0,600.0,medium_cpu,high_bandwidth
10.0,2.0,70.0,0.2,1.0,0.2,40.0,99.0,99.0,800.0,130.0,80.0,30.0,Smart Grid,30.0,60.0,medium_cpu,low_bandwidth
12.0,1.0,100.0,0.2,5.0,1.0,80.0,99.2,99.4,600.0,9.0,120.0,12.0,e-Health,40.0,950.0,medium_cpu,high_bandwidth
20.0,1.0,100.0,0.1,1.0,1.0,200.0,98.5,100.0,2000.0,100.0,25.0,35.0,e-Health,20.0,50.0,low_cpu,low_bandwidth
14.0,2.0,80.0,0.1,1.0,0.5,50.0,99.5,99.5,750.0,150.0,15.0,10.0,Video Surveillance,30.0,160.0,medium_cpu,medium_bandwidth
10.0,2.5,160.0,0.1,3.8,3.0,110.0,100.0,100.0,600.0,60.0,16.0,7.0,Industry Automation,25.0,160.0,low_cpu,medium_bandwidth
15.0,6.0,120.0,0.1,1.5,1.8,60.0,99.8,99.7,250.0,120.0,12.0,3.0,Industry Automation,40.0,140.0,medium_cpu,low_bandwidth
25.0,3.0,150.0,0.2,4.0,1.5,70.0,98.0,99.7,500.0,120.0,60.0,35.0,Industry Automation,40.0,500.0,medium_cpu,high_bandwidth
10.0,3.0,200.0,0.2,6.0,0.5,70.0,99.4,99.8,800.0,120.0,40.0,30.0,e-Health,50.0,600.0,medium_cpu,high_bandwidth
25.0,3.0,400.0,0.1,1.5,1.0,100.0,99.5,99.2,500.0,300.0,40.0,20.0,ITS (Intelligent Transportation Systems),25.0,1000.0,low_cpu,high_bandwidth
8.0,2.0,180.0,0.2,1.5,1.0,30.0,96.0,96.5,250.0,180.0,3.0,20.0,Immersive Experience,60.0,70.0,medium_cpu,low_bandwidth
10.0,1.0,110.0,0.1,0.8,0.5,80.0,99.8,99.5,600.0,42.0,20.0,9.0,Immersive Experience,50.0,150.0,medium_cpu,medium_bandwidth
50.0,1.5,150.0,0.2,1.5,0.3,90.0,99.5,99.5,1000.0,70.0,12.0,8.0,e-Health,25.0,55.0,low_cpu,low_bandwidth
9.0,5.0,750.0,0.1,3.0,1.2,120.0,99.8,99.0,800.0,180.0,3.0,5.0,Video Surveillance,50.0,600.0,medium_cpu,high_bandwidth
12.0,6.0,190.0,0.1,3.0,0.9,70.0,99.8,99.5,180.0,120.0,90.0,30.0,e-Health,40.0,140.0,medium_cpu,low_bandwidth
15.0,1.0,100.0,0.0,5.0,2.0,50.0,99.8,99.8,900.0,100.0,5.0,50.0,e-Health,35.0,800.0,medium_cpu,high_bandwidth
16.2,1.2,70.0,0.3,2.2,0.9,80.0,99.7,99.7,750.0,60.0,10.0,22.0,Smart Grid,20.0,160.0,low_cpu,medium_bandwidth
20.0,6.0,50.0,0.2,2.0,0.5,45.0,99.8,100.0,800.0,40.0,10.0,80.0,Connected Vehicles,40.0,400.0,medium_cpu,high_bandwidth
30.0,2.0,400.0,0.3,1.0,2.0,200.0,96.0,96.0,400.0,300.0,10.0,50.0,Smart Grid,45.0,300.0,medium_cpu,medium_bandwidth
40.0,2.5,400.0,0.1,4.0,1.0,80.0,99.8,99.8,400.0,400.0,2.0,30.0,Vo5G (Voice over 5G),70.0,300.0,high_cpu,medium_bandwidth
22.0,1.2,180.0,0.0,2.5,2.5,50.0,99.6,99.6,900.0,280.0,180.0,15.0,Smart Grid,60.0,300.0,medium_cpu,medium_bandwidth
12.0,2.5,50.0,0.3,0.2,0.3,20.0,99.9,99.8,8000.0,20.0,80.0,100.0,Connected Vehicles,30.0,100.0,medium_cpu,low_bandwidth
20.0,1.0,100.0,0.0,1.0,2.0,75.0,99.6,99.8,800.0,40.0,30.0,10.0,Smart Grid,60.0,180.0,medium_cpu,medium_bandwidth
20.0,5.0,500.0,0.1,2.5,5.0,70.0,98.0,99.5,2000.0,120.0,50.0,10.0,Immersive Experience,30.0,150.0,medium_cpu,medium_bandwidth
15.0,3.5,400.0,0.3,1.8,1.5,80.0,99.7,99.4,1000.0,300.0,6.0,10.0,ITS (Intelligent Transportation Systems),70.0,700.0,high_cpu,high_bandwidth
20.0,1.2,150.0,0.1,0.4,0.8,100.0,99.9,99.5,1000.0,250.0,20.0,20.0,e-Health,20.0,300.0,low_cpu,medium_bandwidth
30.0,1.0,80.0,0.1,1.5,0.8,60.0,96.0,96.5,100.0,70.0,40.0,20.0,Industry Automation,30.0,300.0,medium_cpu,medium_bandwidth
20.0,2.0,100.0,0.1,0.3,0.5,200.0,99.1,99.8,1000.0,150.0,20.0,10.0,Vo5G (Voice over 5G),50.0,1000.0,medium_cpu,high_bandwidth
10.0,4.0,90.0,0.1,5.0,0.3,120.0,99.5,99.9,500.0,100.0,40.0,8.0,Industry Automation,30.0,600.0,medium_cpu,high_bandwidth
25.0,1.5,80.0,0.0,0.5,0.8,80.0,99.9,99.9,800.0,70.0,40.0,7.0,ITS (Intelligent Transportation Systems),20.0,120.0,low_cpu,low_bandwidth
15.0,3.5,80.0,0.3,2.5,1.5,300.0,99.8,99.8,1200.0,8.0,22.0,10.0,Smart Grid,60.0,1600.0,medium_cpu,ultra_high_bandwidth
20.0,1.0,50.0,0.2,2.5,2.5,70.0,99.9,99.8,300.0,50.0,29.0,5.0,Immersive Experience,80.0,200.0,high_cpu,medium_bandwidth
30.0,1.5,130.0,0.2,0.3,0.4,90.0,99.6,99.8,400.0,18.0,1.5,20.0,Video Surveillance,30.0,300.0,medium_cpu,medium_bandwidth
9.0,1.5,200.0,0.4,3.0,1.0,60.0,90.0,94.0,700.0,120.0,70.0,120.0,e-Health,35.0,200.0,medium_cpu,medium_bandwidth
20.0,3.0,200.0,0.2,1.0,0.2,70.0,98.0,99.7,1000.0,200.0,40.0,5.0,Immersive Experience,70.0,400.0,high_cpu,high_bandwidth
15.0,1.0,200.0,0.1,1.0,1.0,60.0,99.8,99.8,2000.0,100.0,30.0,10.0,e-Health,70.0,300.0,high_cpu,medium_bandwidth
22.0,1.0,60.0,0.1,2.0,0.5,50.0,99.0,99.6,500.0,50.0,50.0,8.0,Video Surveillance,50.0,1200.0,medium_cpu,ultra_high_bandwidth
20.0,5.0,300.0,0.2,2.5,0.5,100.0,99.4,99.9,400.0,80.0,70.0,20.0,Vo5G (Voice over 5G),45.0,300.0,medium_cpu,medium_bandwidth
12.0,1.0,150.0,0.3,1.0,0.5,110.0,99.7,99.5,1000.0,50.0,60.0,10.0,Immersive Experience,55.0,150.0,medium_cpu,medium_bandwidth
15.0,2.5,150.0,0.6,1.8,0.5,90.0,99.3,99.6,7500.0,350.0,30.0,40.0,Smart Grid,70.0,450.0,high_cpu,high_bandwidth
25.0,2.8,200.0,0.1,1.4,1.3,70.0,99.2,99.3,10000.0,80.0,20.0,10.0,e-Health,50.0,100.0,medium_cpu,low_bandwidth
15.0,2.5,100.0,0.3,1.5,2.6,30.0,99.5,99.9,1000.0,80.0,20.0,15.0,Video Surveillance,50.0,200.0,medium_cpu,medium_bandwidth
15.0,2.0,100.0,0.1,3.5,1.5,30.0,99.5,100.0,1000.0,90.0,50.0,15.0,Connected Vehicles,40.0,200.0,medium_cpu,medium_bandwidth
20.0,3.0,400.0,0.2,5.0,2.0,160.0,99.0,99.5,800.0,800.0,180.0,10.0,Vo5G (Voice over 5G),35.0,1000.0,medium_cpu,high_bandwidth
10.0,2.0,80.0,0.0,2.0,2.0,150.0,100.0,100.0,1000.0,80.0,25.0,10.0,Smart Grid,55.0,150.0,medium_cpu,medium_bandwidth
12.0,1.0,40.0,0.1,2.5,0.7,100.0,99.7,99.5,700.0,30.0,18.0,20.0,Video Surveillance,70.0,700.0,high_cpu,high_bandwidth
10.0,5.0,35.0,0.2,3.0,0.8,30.0,96.0,96.0,8000.0,25.0,18.0,50.0,UHD Video Streaming,40.0,35.0,medium_cpu,low_bandwidth
15.0,2.0,500.0,0.1,2.0,1.0,80.0,99.6,99.6,500.0,100.0,70.0,50.0,Immersive Experience,30.0,400.0,medium_cpu,high_bandwidth
5.0,2.0,300.0,0.2,5.0,2.0,100.0,99.7,99.5,800.0,300.0,20.0,9.0,Smart Grid,60.0,300.0,medium_cpu,medium_bandwidth
14.0,2.2,80.0,0.1,2.2,1.7,90.0,99.7,99.7,200.0,80.0,25.0,20.0,Vo5G (Voice over 5G),35.0,70.0,medium_cpu,low_bandwidth
45.0,2.9,90.0,0.2,2.2,3.1,120.0,99.6,99.9,1200.0,70.0,18.0,10.0,ITS (Intelligent Transportation Systems),35.0,140.0,medium_cpu,low_bandwidth
15.0,3.5,100.0,0.4,1.8,0.9,150.0,98.5,98.5,500.0,50.0,20.0,120.0,Video Surveillance,45.0,150.0,medium_cpu,medium_bandwidth
40.0,1.5,400.0,0.4,3.4,5.1,110.0,99.5,99.7,120.0,400.0,40.0,8.0,Industry Automation,70.0,800.0,high_cpu,high_bandwidth
25.0,1.9,120.0,0.2,6.5,1.8,110.0,99.8,99.6,350.0,90.0,180.0,35.0,Immersive Experience,65.0,100.0,medium_cpu,low_bandwidth
50.0,1.5,80.0,0.1,0.3,0.3,150.0,99.6,99.7,5.0,80.0,25.0,10.0,e-Health,70.0,120.0,high_cpu,low_bandwidth
10.0,4.0,100.0,0.1,2.1,1.2,80.0,99.6,99.6,5000.0,90.0,70.0,100.0,e-Health,40.0,1500.0,medium_cpu,ultra_high_bandwidth
8.0,1.2,180.0,0.0,2.0,0.5,90.0,98.0,99.3,8000.0,110.0,60.0,180.0,Immersive Experience,60.0,120.0,medium_cpu,low_bandwidth
5.0,3.0,300.0,0.1,0.6,1.0,120.0,99.5,99.8,4000.0,250.0,140.0,5.0,Video Surveillance,30.0,1800.0,medium_cpu,ultra_high_bandwidth
